generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1772261021-12DElpGqPe30eovuHf0M,2026-02-28 06:43:41.033,0.001262,,,0,0,355,14,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1093,933,,BIM+IOT Assistant Proto
gen-1772261019-zaLEek5DprGcKIXEmIHm,2026-02-28 06:43:39.008,0.014362,,,0,0,4691,29,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1142,644,,BIM+IOT Assistant Proto
gen-1772261017-gYqOYxLeCKfCKIIwETSh,2026-02-28 06:43:37.063,0.00286,,,0,0,748,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1873,1423,,BIM+IOT Assistant Proto
gen-1772261015-fNlXSNvRwUUqsiJ7Bh6E,2026-02-28 06:43:35.686,0.001262,,,0,0,355,14,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1312,1158,,BIM+IOT Assistant Proto
gen-1772261013-vJ9KXcwtyvx0ofCy1u5z,2026-02-28 06:43:33.879,0.014362,,,0,0,4691,29,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1728,1233,,BIM+IOT Assistant Proto
gen-1772261012-bbqmstfiOzl6k7aQ820k,2026-02-28 06:43:32.147,0.00286,,,0,0,748,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1645,1180,,BIM+IOT Assistant Proto
gen-1772261011-A5LvPC7GtJAqjvOaDTHc,2026-02-28 06:43:31.183,0.001262,,,0,0,355,14,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,890,731,,BIM+IOT Assistant Proto
gen-1772261009-ytnfiXlkOTiZA2wkOkzB,2026-02-28 06:43:29.384,0.014362,,,0,0,4691,29,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1683,1190,,BIM+IOT Assistant Proto
gen-1772261007-oswai1iPpojfuSf9IWBd,2026-02-28 06:43:27.563,0.00286,,,0,0,748,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1742,1291,,BIM+IOT Assistant Proto
gen-1772261006-CRHOmWG00B0qjzn6iqdd,2026-02-28 06:43:26.030,0.001262,,,0,0,355,14,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1458,1305,,BIM+IOT Assistant Proto
gen-1772261004-JT7GD7vSqvVrA3AjXSWj,2026-02-28 06:43:24.244,0.014362,,,0,0,4691,29,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1703,1217,,BIM+IOT Assistant Proto
gen-1772261002-hRmU8G3gIpSMGpr8cdpw,2026-02-28 06:43:22.585,0.00286,,,0,0,748,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1580,1134,,BIM+IOT Assistant Proto
gen-1772261001-BTnKOUBJD5G6I4WP4QO8,2026-02-28 06:43:21.145,0.001262,,,0,0,355,14,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1362,1203,,BIM+IOT Assistant Proto
gen-1772260999-svENbxaXtThCUnsw6kwR,2026-02-28 06:43:19.162,0.014362,,,0,0,4691,29,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1878,1383,,BIM+IOT Assistant Proto
gen-1772260997-QMDfn0GW4JLW4sI9nq4r,2026-02-28 06:43:17.147,0.00286,,,0,0,748,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,false,true,,stop,stop,1822,1375,,BIM+IOT Assistant Proto
